TRACTCE,COUNTYFP,BLKGRPCE,NatWalkInd,Prop_land_unprotected,D4B025,D4A,D2B_E5MIXA,D2A_JPHH,D1D,D1C5_ENT,D1B,E_PctLowWage,Prop_over3kmonth,R_PCTLOWWAGE,P_WrkAge
18502,81,1,8.166666667,1.0,0.848081411,136.79,0.0,0.029304029,80.92413294,0.0,160.1264758,0.25,0.434715821812596,0.17218543,0.733
20500,81,2,11.83333333,1.0,0.0,226.65,0.156493186,1.601328904,44.20889513,0.0,53.55342055,0.304979253,0.25612244897959185,0.212290503,0.652
26901,81,3,12.33333333,1.0,1.0,269.57,0.379551331,0.024570025,85.14562955,0.0,220.6399304,0.1,0.17092511013215858,0.28314239,0.773
27100,81,5,14.5,1.0,1.0,284.32,0.820957122,0.106159895,142.7850357,0.456182223,340.920181,0.432098765,0.1471900089206066,0.271186441,0.575
62600,81,3,13.66666667,1.0,0.0,403.68,0.643826504,0.044897959,8.382752557,0.0,19.12509472,0.363636364,0.32305194805194803,0.226027397,0.615
29400,81,4,12.83333333,1.0,0.0,337.96,0.038633147,0.13836478,28.81435668,3.462498662,50.62411837,0.397727273,0.1540880503144654,0.18735363,0.767
30902,81,5,11.66666667,1.0,0.0,370.15,0.692282232,0.154738878,53.96378602,4.157587288,119.1276031,0.4625,0.1623931623931624,0.257575758,0.618
37600,81,1,15.16666667,1.0,0.0,166.3,0.702909673,0.076923077,14.48641944,0.376814379,44.50596493,0.434782609,0.16839134524929444,0.228971963,0.614
33000,81,4,13.16666667,1.0,0.0,296.39,0.424314663,0.01627907,15.67841441,0.0,48.91531005,1.0,0.14824982841455045,0.200426439,0.484
8500,81,2,16.16666667,1.0,0.566340259,236.04,0.716453029,29.97619048,43.00002939,4.717167403,2.920151249,0.180301827,0.6593406593406593,0.243055556,0.791
150701,81,1,15.33333333,1.0,0.0,391.61,0.57281837,0.93059126,9.622339988,0.024609565,15.38097824,0.215469613,0.2096,0.197580645,0.574
126700,81,1,10.0,1.0,0.0,658.49,0.214054566,15.14795918,25.67727225,2.040310892,24.54018199,0.290333446,0.1146894511994742,0.24435591,0.515
9400,81,2,15.33333333,1.0,1.0,0.0,0.809255955,0.275773196,29.23522821,0.91866706,74.19587492,0.420560748,0.1930080116533139,0.188736682,0.663
24300,81,4,16.66666667,1.0,0.0,175.69,0.742094682,0.361423221,24.34030535,0.49172334,52.39926846,0.18134715,0.21524926686217008,0.222474461,0.638
27300,81,2,11.16666667,1.0,0.0,164.96,0.252559877,0.252707581,114.4800067,0.610560036,181.7942506,0.15,0.15365239294710328,0.229946524,0.615
46900,81,1,15.0,1.0,1.0,419.77,0.708274539,0.246987952,68.55054472,0.476597066,167.1267046,0.329268293,0.1397338403041825,0.217772215,0.587
10000,81,2,15.66666667,1.0,0.735549041,77.78,0.862230635,0.179604262,24.08280178,0.030407578,83.01268796,0.313559322,0.1509157509157509,0.168361582,0.676
102900,81,2,14.16666667,1.0,0.0,578.02,0.531998152,0.305764411,16.38559707,0.0,41.08316066,0.204918033,0.2001450326323423,0.208185053,0.502
80302,81,1,15.33333333,1.0,0.0,233.35,0.69860591,0.242990654,11.44915006,0.086083835,32.13796507,0.153846154,0.18125,0.276639344,0.673
39900,81,1,10.0,0.98690122461391,0.993046707,757.73,0.694925981,0.089928058,23.62507631,0.0,112.9682853,0.48,0.08389882788402221,0.253829322,0.529
69300,81,2,15.16666667,1.0,0.978767849,154.23,0.533330571,0.607142857,47.39072642,0.854479117,68.75270434,0.156862745,0.3441682600382409,0.13968254,0.588
58700,81,1,14.83333333,1.0,0.773962939,265.54,0.715453218,0.405088063,41.52195343,1.527745987,82.9893445,0.22705314,0.24391847468770544,0.185236769,0.629
77903,81,2,12.83333333,1.0,0.0,218.6,0.69942645,0.101827676,19.27790813,0.091364493,57.19417292,0.282051282,0.2268370607028754,0.19038817,0.563
88901,81,4,14.5,1.0,0.0,144.84,0.339790815,0.346938776,44.92355623,0.399574198,71.58086343,0.152941176,0.18740031897926634,0.290268456,0.63
54700,81,3,9.166666667,1.0,1.0,233.35,0.608473096,0.086175943,73.12194152,0.0,226.8019542,0.395833333,0.11674118231495281,0.235194585,0.698
23200,81,2,10.83333333,1.0,0.183203617,535.11,0.106614222,0.323568575,46.96942248,0.0,99.43477542,0.127572016,0.18950301904319555,0.202140309,0.614
63900,81,2,16.0,0.9602708515702691,0.0,0.0,0.677248337,0.666666667,22.05748283,0.326432093,30.40481776,0.129032258,0.3558282208588957,0.128140704,0.635
10500,81,2,12.33333333,1.0,0.0,206.53,0.0,0.00625,32.31717704,0.0,87.75866844,0.0,0.24622030237580994,0.194260486,0.637
118900,81,1,15.16666667,1.0,0.0,171.66,0.588369895,0.54822335,22.39709316,0.229882188,39.57257663,0.337962963,0.18589211618257262,0.317142857,0.676
77904,81,1,14.0,1.0,0.0,258.84,0.785480744,0.061093248,21.00010051,0.157107984,60.27709648,0.052631579,0.2206776715899218,0.2,0.659
6100,81,4,15.33333333,1.0,0.301178277,147.52,0.900979961,0.528767123,58.17493204,5.160008278,62.33622904,0.300518135,0.48064085447263016,0.157243816,0.844
11300,81,3,14.0,1.0,0.255733239,198.49,0.825882328,0.788519637,38.25258852,2.928713809,54.988096,0.333333333,0.3717391304347826,0.196113074,0.697
14700,81,3,16.83333333,1.0,0.0,0.0,0.857447931,0.755600815,73.43759004,4.430871354,94.77141508,0.326145553,0.2961038961038961,0.204013378,0.75
15900,81,4,11.83333333,1.0,1.0,170.32,0.658239692,0.081034483,60.31048675,0.341219161,97.41807053,0.234042553,0.330122591943958,0.200886263,0.769
9500,81,2,13.0,1.000000049020203,0.04263627,152.89,0.671887161,0.111531191,22.64733266,0.0,46.47115014,0.338983051,0.319971870604782,0.208489388,0.6
25100,81,3,15.16666667,1.0,1.0,308.46,0.538866834,0.459317585,30.29582439,1.416711213,73.17858303,0.211428571,0.26582278481012656,0.185878963,0.7
127700,81,4,16.5,0.9946341345038535,0.0,285.66,0.594102233,0.555921053,9.357028766,0.736163754,19.74081224,0.195266272,0.19136408243375858,0.231638418,0.562
9500,81,1,11.0,1.0,0.884359823,335.28,0.668501925,0.100775194,49.8455901,0.0,95.91047676,0.153846154,0.3921161825726141,0.15942029,0.753
9600,81,1,17.0,1.0,0.529760441,253.47,0.473276438,0.86023622,33.69467304,1.37027346,71.32449038,0.19221968,0.18226600985221675,0.208187135,0.659
9700,81,2,16.33333333,0.999999758497608,0.0,118.02,0.87286533,0.227659574,36.67024048,1.906598292,67.68423936,0.271028037,0.4375586854460094,0.167315175,0.742
9800,81,1,16.5,1.0,1.0,130.09,0.884598209,0.432494279,37.94309287,2.987645108,99.24957047,0.423280423,0.1444912703190849,0.173566879,0.584
9800,81,2,10.66666667,1.0,1.0,307.12,0.839943476,0.345528455,22.31016287,0.356962606,62.05199966,0.282352941,0.19942473633748803,0.228813559,0.673
10000,81,1,13.33333333,1.0,0.0,265.54,0.756290458,0.114942529,17.39599269,0.582855425,52.2328131,0.325,0.2652360515021459,0.200288184,0.681
10100,81,1,13.0,1.0000001938147636,0.0,120.7,0.744673895,0.074450085,31.51796616,0.41531727,72.03447318,0.136363636,0.29404228058936577,0.179921773,0.678
10100,81,2,14.66666667,1.0,0.62904144,152.89,0.878128439,0.188888889,26.54826079,0.380620226,42.81977547,0.282352941,0.4988888888888889,0.205804749,0.797
10200,81,1,16.66666667,1.0,0.0,246.77,0.584365687,0.289772727,18.52545141,0.308115616,49.99175868,0.343137255,0.20801232665639446,0.177777778,0.728
10600,81,1,15.5,1.0,0.928969265,178.37,0.876654897,0.56741573,28.10612919,3.621923864,80.02037125,0.465346535,0.13095956547978274,0.175746924,0.692
10300,81,2,15.83333333,1.0,0.0,146.18,0.40032683,1.117056856,40.33755006,0.414021775,40.75157184,0.107784431,0.37155297532656023,0.149882904,0.724
10500,81,1,10.33333333,0.998779738091634,0.0,358.08,0.0,0.002028398,55.15930213,0.0,117.7419122,0.0,0.1786339754816112,0.247807018,0.595
10500,81,4,10.33333333,1.0,0.0,514.99,0.275441934,0.071633238,39.79099479,0.1908441,95.80373807,0.12,0.16633466135458166,0.233918129,0.61
10600,81,2,13.66666667,1.0,0.652937502,171.66,0.739113085,0.39453125,34.38725632,0.816583923,104.6134737,0.193069307,0.15481352992194275,0.196511628,0.626
11000,81,1,15.33333333,1.0,0.0,324.55,0.434991901,0.824817518,27.74726883,0.215932053,54.90072451,0.119469027,0.23697148475909538,0.174953959,0.666
10800,81,1,12.66666667,1.0,0.0,0.0,0.53324887,0.177248677,28.06879561,0.0,95.54186198,0.388059701,0.14124293785310735,0.195876289,0.666
10800,81,2,9.5,1.0,0.734347582,278.95,0.661038427,0.152993348,23.35509871,0.0,83.31482329,0.188405797,0.14070080862533693,0.203539823,0.641
11000,81,2,13.16666667,1.0,0.88327373,297.73,0.883170329,0.089788732,28.21454069,0.314493288,99.55958944,0.352941176,0.16290613718411553,0.187951807,0.693
11200,81,1,14.33333333,1.0,0.467256122,144.84,0.625726951,0.46728972,25.19878476,0.246563452,52.07420098,0.3,0.20928030303030304,0.21042471,0.575
11300,81,1,13.66666667,1.0,0.794158473,289.68,0.710275101,0.340715503,67.21422803,4.521136414,94.49175106,0.37,0.35007974481658694,0.208226221,0.746
11300,81,2,16.66666667,1.0,0.787000494,223.97,0.922586002,0.515083799,99.37135953,7.986460617,161.0720685,0.381778742,0.24528301886792453,0.204701273,0.786
11600,81,1,17.16666667,1.0,0.0,181.05,0.86640465,0.569148936,20.40770526,1.388690003,41.41918877,0.242990654,0.26384839650145775,0.192575406,0.681
11600,81,2,15.0,1.0,0.0,277.61,0.737198047,0.209039548,25.87442024,0.694615309,82.31191406,0.22972973,0.19268635724331926,0.197204969,0.754
130100,81,2,13.5,1.0,0.0,202.51,0.774937022,0.204238921,18.67118214,1.202828717,36.5495908,0.433962264,0.21241585639491398,0.191699605,0.607
11700,81,1,14.66666667,1.0,1.0,246.77,0.590086307,0.5,59.59466401,11.90062415,81.198874,0.285714286,0.3134160090191657,0.196392786,0.786
72100,81,3,11.5,1.0,0.0,442.57,0.184838094,0.138957816,70.31321848,0.0,142.5302245,0.142857143,0.27337488869100623,0.191956124,0.601
